id,a_id,movie_name,year,torrent_id,quality
2126,1238,Krampus,2015,AB8B3F01AB9AA369ECD49385B9A6D12120041945,720p BluRay
2127,1238,Krampus,2015,CB3346DBCF6945B169C7710931AA672E6A0B2DA8,1080p BluRay
2128,1239,Land of Mine,2015,81C11F13FA3D620A50AFCEB2F33355D97A35DA8E,720p BluRay
2129,1239,Land of Mine,2015,CD7723B1746D5B0C6900584F4940B9911AA2E053,1080p BluRay
2130,1240,Last Knights,2015,5045B32294A31D81D312375C1F299FD1E5D64E65,720p BluRay
2131,1240,Last Knights,2015,1628CB6BF3FEB01541F2BC6DE25DEAB6B69F659B,1080p BluRay
2132,1241,Life,2015,FCD0E4E2455203C7AD100A9BFCC9D4A52028ADD8,720p BluRay
2133,1241,Life,2015,D410CD9245AD33F8E6F385866193ECD60CB699F9,1080p BluRay
2134,1242,Life on the Line,2015,69D02387428C416B1F8CEA69D92BD16924D6C21F,720p BluRay
2135,1242,Life on the Line,2015,0F07886B2623BED09BC623784E83FC346B4DE023,1080p BluRay
2136,1243,Macbeth,2015,D66650CA586E6618A69EDFB3BDA7CA98FABA1F19,720p BluRay
2137,1243,Macbeth,2015,44CC74A5A6A96669C20B8482CFA7FFCBEC537355,1080p BluRay
2138,1244,Maggie,2015,599268AA741DFAC1776B885EEA4E2ADAD30D06A0,720p BluRay
2139,1244,Maggie,2015,F06B9DE228DE3877E1E6803C5B89FE15A7BD1571,1080p BluRay
2140,1245,Max,2015,9C3D4A8B22E0B75D59D50289D14D98B38CEFE758,720p BluRay
2141,1245,Max,2015,25197E1B0B0FA14C7AEC9F8AA037435160F21F11,1080p BluRay
2142,1246,Maze Runner: The Scorch Trials,2015,7ED92D64696626FA91FC3A33995C5FC8DA87300B,720p BluRay
2143,1246,Maze Runner: The Scorch Trials,2015,4B1C856363402A138389AE940DF2C3367BAEA7B3,1080p BluRay
2144,1247,Me and Earl and the Dying Girl,2015,5095CBD6466A14E667B70EC8B81308806906F10D,720p BluRay
2145,1247,Me and Earl and the Dying Girl,2015,82F7035A630D22754216D7FEF59BF59318535446,1080p BluRay
2146,1249,Mistress America,2015,025AAB551513490BB34DDBD9BD2C29CF306DF457,720p BluRay
2147,1249,Mistress America,2015,9FEDF66D7D746A6BFFC01D212D4BE247586CC8B7,1080p BluRay
2148,1250,Miss You Already,2015,5FB718CAFDA89EB519454B00A97129680939FA76,720p BluRay
2149,1250,Miss You Already,2015,9D6DE18A122526FE272409CAF14DE1814B7A3311,1080p BluRay
2150,1251,Momentum,2015,0F5D7C715C2D261A756BF4010435FDF580B8A0BF,720p BluRay
2151,1251,Momentum,2015,9247DC31B8FFAB3706C868FD2B9441D211BB4170,1080p BluRay
2152,1252,Mortdecai,2015,A400DEE40A78237CB9CE98C515BD03752B02A046,720p BluRay
2153,1252,Mortdecai,2015,D3658C97CD021B5FA6F6D908E7E6E171BA4CDBB3,1080p BluRay
2154,1253,My King,2015,230A79C74026ED6EB445569989E249E368843EC6,720p BluRay
2155,1253,My King,2015,AC83687D7151BC34F4C5AA08100EC1264020F05E,1080p BluRay
2156,1254,No Escape,2015,451474C34A76CD95570034FEB6A725869A3CFDF6,720p BluRay
2157,1254,No Escape,2015,9FEA22B76E5EFC8CE6C9354A2C4AF6FE592E46D5,1080p BluRay
2158,1255,Norm of the North,2016,1DDBE019DB34C019CC9D7FCB598354C0E8DE952A,720p BluRay
2159,1255,Norm of the North,2016,2BB860652B41B14BDF00EB915C6071DB278AA355,1080p BluRay
2160,1256,Our Brand Is Crisis,2015,BEA79705AD186CD82632BEAE07DDB4D3D11E88B7,720p BluRay
2161,1256,Our Brand Is Crisis,2015,1F92E8ABD9AB0B5D01269952294474E7321AC5CB,1080p BluRay
2162,1257,Pan,2015,18530B9ABFD36139521C105509452E796999C647,3D BluRay
2163,1257,Pan,2015,AC40C385BEB75D3E7EBD9F151DC7A0D05B247433,720p BluRay
2164,1257,Pan,2015,822C5D17C9F8BF9704C92986DCC99978AEA87C19,1080p BluRay
2165,1258,Paper Towns,2015,0227597EBA60C889C36BEF8287D09B418AFEC106,720p BluRay
2166,1258,Paper Towns,2015,6175754C9A5502BA085F8D64F31C8158AB0BE1C5,1080p BluRay
2167,1259,Pixels,2015,BD4D5AF1897BD31A58292C40C00997EBF62A26C7,3D BluRay
2168,1259,Pixels,2015,3AC74694D246FAEDA2E58CF190BDA48899458C48,720p BluRay
2169,1259,Pixels,2015,D5A14DD9675E85750E60051FC86F0AB402E9443F,1080p BluRay
2170,1260,Poltergeist,2015,BE336E318D5286AD3DACE8A90E9F2CBDB5C219B8,3D BluRay
2171,1260,Poltergeist,2015,71F64BB432F3D17C3EF8D644C849E270E20840F6,720p BluRay
2172,1260,Poltergeist,2015,988C8A2D20E34EDBE38990D6F66573B6B7C7D6FE,1080p BluRay
2173,1261,Pound of Flesh,2015,E74B78B9DBDF3C56EB4B448679D0DFB1FAE5C5F4,720p BluRay
2174,1261,Pound of Flesh,2015,966EE01643362A2E2295105B4DDF1D427C37BD09,1080p BluRay
2175,1262,Queen of the Desert,2015,269A79F5F9BCEBBD4DAB06D18D0EE2B0BD39FE79,720p BluRay
2176,1262,Queen of the Desert,2015,DFDED28230750864C0E63233D795E82647522271,1080p BluRay
2177,1263,Racing Extinction,2015,8C4DF3FC440FD5FA394473381A0D98F4F57A6DF1,720p BluRay
2178,1263,Racing Extinction,2015,D08A4C503425899C7CBBF3D813A37F0464678B70,1080p BluRay
2179,1264,Regression,2015,403DEA704182EDCC98A7609A53DBF4322072F50A,720p BluRay
2180,1264,Regression,2015,FC71E5F06C52A56B9034A3635F408AF7FFFC5F04,1080p BluRay
2181,1265,Ricki and the Flash,2015,E1AE60102207DE5324FE2AEA8E498510D8C7D91A,720p BluRay
2182,1265,Ricki and the Flash,2015,47C3C801DE975D7FD62FFCEE8D4A3F494707375E,1080p BluRay
2183,1266,Run All Night,2015,0BAB52816F1586CB2BADF444A649A8F01ED30D5C,720p BluRay
2184,1266,Run All Night,2015,9D535CC988C98BBC45630F0CD2EAC7021EAEC303,1080p BluRay
2185,1267,San Andreas,2015,8938062184AF20484527CBA769880708E761ED4A,3D BluRay
2186,1267,San Andreas,2015,A1BBA6232071DA67E5E5B9C914AFD8FBBFC184A0,720p BluRay
2187,1267,San Andreas,2015,E8BB36B5199EB989D49828460CF90019958A3F4C,1080p BluRay
2188,1268,Saving Mr. Wu,2015,AC044EDDEF3362EAEBB7DD8C100868452D48F93C,720p BluRay
2189,1268,Saving Mr. Wu,2015,E90B48444B8C16AF214B600F62FE5947DB0B2DE0,1080p BluRay
2190,1271,Sisters,2015,43F8D1FAC5FE9882C7E39D0459A6C793A64B964B,720p BluRay
2191,1271,Sisters,2015,0457D73BC83C76C8EA6865238654A0D2ACE31C0A,1080p BluRay
2192,1272,Sleeping with Other People,2015,F3F096D4B61E75529ABC2EDFAEF7B48BE64F310C,720p BluRay
2193,1272,Sleeping with Other People,2015,A46E732EE08BE4C051EA9AFED765772E3A968E45,1080p BluRay
2194,1273,Solace,2015,957F491619A9DF2F1FBBBEDD36A185E57838AD81,720p BluRay
2195,1273,Solace,2015,43C9AAEF38BA0E5544BDFB1E85A94F9B61B6E0D9,1080p BluRay
2196,1274,Son of Saul,2015,CB8B35BD790E9B5ECBBDEEE32883681A061720FA,720p BluRay
2197,1274,Son of Saul,2015,A5359E3A2E9A7A6479D70829E87DA5FC2DCA2325,1080p BluRay
2198,1275,Southpaw,2015,5DCD101A75D4EA015656CACE713054BF8063F362,720p BluRay
2199,1275,Southpaw,2015,8A8AED41A51E422CFD4300B1C453BB3066E58746,1080p BluRay
2200,1276,Spotlight,2015,0212EFE63370AA96D9D4E1B5D15FC21B55692908,720p BluRay
2201,1276,Spotlight,2015,D865DF5BB761D4C976265DF922AC679D39130B4E,1080p BluRay
2202,1277,Spy,2015,302A1A1F45C54479CE098FF8A7D1A54DDF3C4A6D,720p BluRay
2203,1277,Spy,2015,2A210983F89C48822FA82421F31B4D8D55F5C20D,1080p BluRay
2204,1278,Steve Jobs,2015,88208992C5CA27CAF4F9AC2B8F2908F548D8082A,720p BluRay
2205,1278,Steve Jobs,2015,46E7E399850BDC9039182074EFA32957CD82C9F1,1080p BluRay
2206,1278,Steve Jobs,2015,E8296B45F9E7A3499372DFBB3982B5A96F7F8157,2160p WEB
2207,1279,Straight Outta Compton,2015,CA6C3EF6703C094B7CA3ABE2F28401574EBD80EE,720p BluRay
2208,1279,Straight Outta Compton,2015,86B895C4535B1CC6DD9BBD19C5E3430E69E5F609,1080p BluRay
2209,1280,Terminator Genisys,2015,5A32152CDD1ED517C618557007FF66302897A9C4,3D BluRay
2210,1280,Terminator Genisys,2015,722E7CEC562882B97A34A48B559A610142F60810,720p BluRay
2211,1280,Terminator Genisys,2015,C1D7DF860B8EE683ABCA0007007AF7212CD6A980,1080p BluRay
2212,1281,The Age of Adaline,2015,270368E31F25E6F60DCCB91FE54EE3BED8DD2CC1,720p BluRay
2213,1281,The Age of Adaline,2015,F62B40A2335D17D92B56A4B38666665B56F59A66,1080p BluRay
2214,1282,The Danish Girl,2015,85A96231386137857F8F4E2794AD6ADAE601BC40,720p BluRay
2215,1282,The Danish Girl,2015,CB2081766A41F2DF2D142DACB913948AAF279288,1080p BluRay
2216,1283,The Gift,2015,5FA63360B6597D49352CB1DB98CF0CB7267F911E,720p BluRay
2217,1283,The Gift,2015,F8A21E355E69916547D2CA6FC07F8E7C0D4C7065,1080p BluRay
2218,1284,The Good Dinosaur,2015,CF06BDE32E75939155D5CEDE27881498A658D15A,3D BluRay
2219,1284,The Good Dinosaur,2015,C2C7423D6AA2CA7E5575F7CA4E517028A1DD75E1,720p BluRay
2220,1284,The Good Dinosaur,2015,1F6BF1BDA08EC966D39279A30D0A0C325706B69E,1080p BluRay
2221,1285,The Gunman,2015,29DBECF9C558BB81697FCCF63FDAF2D6A077EB2C,720p BluRay
2222,1285,The Gunman,2015,73D041915689295E33DE297153C87A427B23B276,1080p BluRay
2223,1286,The Hateful Eight,2015,F2CB4E6BB58B1C747EC56A45CC9284B01C49C2A2,720p BluRay
2224,1286,The Hateful Eight,2015,5CB561222EAA619DFA38D742DBA67EF134F33D4A,1080p BluRay
2225,1287,The Intern,2015,FA3D21F45F8C0D4B0D2E648A9F4FD47E74784401,720p BluRay
2226,1287,The Intern,2015,12AD37D952D5D0446AB07DAE6822954FA520EEAF,1080p BluRay
2227,1288,The Lady in the Van,2015,2E451C62703367679686BCE9E1DD6A1A997489A4,720p BluRay
2228,1288,The Lady in the Van,2015,E3C56F62E85186DB56DCEFC16BA01BDB9CA27973,1080p BluRay
2229,1293,The Peanuts Movie,2015,68EEAA6B12FBD2B3749FB8BFE2D4D28FD1079C2A,720p BluRay
2230,1293,The Peanuts Movie,2015,BAC482F6A08CBA42D580EE618E49E7DA7EA76BC1,1080p BluRay
2231,1294,The Revenant,2015,CBD21C97A839851A53CF1230E968FF373FE9A63E,720p BluRay
2232,1294,The Revenant,2015,931A5BC5CE3767168D00F92A2E4CFFE472B9CE54,1080p BluRay
2233,1294,The Revenant,2015,2F6491E7DECEE8AEBB34C0078C6A0E4FBD174A17,2160p BluRay
2234,1295,The Ridiculous 6,2015,3630EDF9FE8CB9DA4B4E5A81576AD7BD8867B6E7,720p BluRay
2235,1295,The Ridiculous 6,2015,54CF92CA156D8EE9601CBA08731DFDF73FF1B246,1080p BluRay
2236,1297,The Tiger,2015,395583E033E36474274604547D04492E108BEDDD,720p BluRay
2237,1297,The Tiger,2015,0EDA344D0AE8DF7B7B92B4D8CF61A5215C319F14,1080p BluRay
2238,1297,The Tiger,2015,84E22A4071CDEA447B62DE413D0941DA065E8A6B,720p WEB
2239,1297,The Tiger,2015,F4379DA5741021776C3FD4CB51C5059684DACC7A,1080p WEB
2240,1298,The Transporter Refueled,2015,809ADB3B4B3A9F87ADECC98236683F61999448DB,720p BluRay
2241,1298,The Transporter Refueled,2015,7C68B7B93E18606BE3DB34CC9DC5B2D5A1025F1C,1080p BluRay
2242,1299,The Visit,2015,913A5D7D5BB684C7367209258E194ADB5166392B,720p BluRay
2243,1299,The Visit,2015,81D561638316A045D38162862CCFFE88766732C0,1080p BluRay
2244,1300,The Walk,2015,706881AD73A6D9417BE9FC8B3796EDB9C7D218FA,3D BluRay
2245,1300,The Walk,2015,62E15DCBC9798A2972686E16526DFF9EE8124689,720p BluRay
2246,1300,The Walk,2015,60CB1C3FBDF72E9DC7B5D9AE4AC169D5795FFCAC,1080p BluRay
2247,1301,The Witch,2015,25E29A778D195BFBEFCEEBDBB90C5C3930F858F9,720p BluRay
2248,1301,The Witch,2015,D476B049A5D4650E9CFBD65E24C97BFD91A420FC,1080p BluRay
2249,1302,Tomorrowland,2015,74BBAD611344209D74B544C6D27640FD32D19545,720p BluRay
2250,1302,Tomorrowland,2015,32415815A0B4621400688F0BF2966D7FD3435D93,1080p BluRay
2251,1303,Tracers,2015,E3DD48C80D327CA83037CB85D65A6C60E8F47FB2,720p BluRay
2252,1303,Tracers,2015,55BCABF72605B229D3435A77E519B2A0BDE913DC,1080p BluRay
2253,1304,True Story,2015,652426DD8976EB0C20769DDDEE6AAC98957C5F36,720p BluRay
2254,1304,True Story,2015,23F78A0913221E331FF46511D40AE9636CE87456,1080p BluRay
